,eventType,outcome,cross,keyPass,assist,subEventType,bodyPart,xG,eventTypes,eventId,eventPeriod,eventTime,teamId,playerId,x,y,relativeEvent_eventId,relativeEvent_playerId,relativeEvent_x,relativeEvent_y,ballPosition_x,ballPosition_y,playerName,playerLastName,time_sec,time_min
0,Pass,Successful,False,False,False,,,,,41254878,FIRST_HALF,996,10758,210334.0,0.49898,0.50017,41254879.0,210329.0,0.492469,0.403253,,,Antonin,Barak,0.996,0.0166
1,Pass,Successful,False,False,False,,,,,41254892,FIRST_HALF,15767,10758,210334.0,0.836761,0.540591,41254893.0,210327.0,0.852462,0.487489,,,Antonin,Barak,15.767,0.2627833333333333
2,Pass Received,,,,,,,,,41254892,FIRST_HALF,15767,10758,210334.0,0.836761,0.540591,41254893.0,210327.0,0.852462,0.487489,,,Antonin,Barak,15.767,0.2627833333333333
3,Pass Received,,,,,,,,,41254897,FIRST_HALF,20227,10758,210334.0,0.806378,0.708887,,,,,,,Antonin,Barak,20.227,0.3371166666666667
4,Pass,Successful,False,False,False,,,,,41254900,FIRST_HALF,20904,10758,210334.0,0.839958,0.731851,41254901.0,210326.0,0.91417,0.918279,,,Antonin,Barak,20.904,0.3484
5,Pass,Successful,False,False,False,,,,,41255010,FIRST_HALF,79051,10758,210334.0,0.719833,0.670807,41255011.0,210329.0,0.59336,0.590763,,,Antonin,Barak,79.051,1.3175166666666667
6,Pass Received,,,,,,,,,41255010,FIRST_HALF,79051,10758,210334.0,0.719833,0.670807,41255011.0,210329.0,0.59336,0.590763,,,Antonin,Barak,79.051,1.3175166666666667
7,Pass Received,,,,,,,,,41255121,FIRST_HALF,174179,10758,210334.0,0.378257,0.981604,,,,,,,Antonin,Barak,174.179,2.9029833333333332
8,Pass,Successful,False,False,False,,,,,41255124,FIRST_HALF,176242,10758,210334.0,0.297963,0.994125,41255125.0,210328.0,0.223296,0.960923,,,Antonin,Barak,176.242,2.9373666666666667
9,Pass,Successful,False,False,False,,,,,41255197,FIRST_HALF,234823,10758,210334.0,0.429428,0.414142,41255198.0,210328.0,0.290901,0.42607,,,Antonin,Barak,234.823,3.9137166666666667
10,Pass Received,,,,,,,,,41255197,FIRST_HALF,234823,10758,210334.0,0.429428,0.414142,41255198.0,210328.0,0.290901,0.42607,,,Antonin,Barak,234.823,3.9137166666666667
11,Recovery,,,,,,,,,41255222,FIRST_HALF,265821,10758,210334.0,0.0832992,0.141446,,,,,,,Antonin,Barak,265.821,4.430350000000001
12,Pass,Successful,False,False,False,,,,,41255227,FIRST_HALF,266466,10758,210334.0,0.111278,0.154799,41255228.0,210333.0,0.117971,0.141397,,,Antonin,Barak,266.466,4.4411000000000005
13,Pass Received,,,,,,,,,41255267,FIRST_HALF,326332,10758,210334.0,0.653565,0.683589,,,,,,,Antonin,Barak,326.332,5.438866666666667
14,Pass,Successful,False,False,False,,,,,41255268,FIRST_HALF,327756,10758,210334.0,0.566493,0.661532,41255269.0,210333.0,0.231728,0.577221,,,Antonin,Barak,327.756,5.462599999999999
15,Duel,Successful,,,,Ground,,,,41255268,FIRST_HALF,327756,10758,210334.0,0.566493,0.661532,41255269.0,210333.0,0.231728,0.577221,,,Antonin,Barak,327.756,5.462599999999999
16,Pass Received,,,,,,,,,41255277,FIRST_HALF,332492,10758,210334.0,0.107343,0.695984,,,,,,,Antonin,Barak,332.492,5.541533333333334
17,Pass,Successful,False,False,False,,,,,41255281,FIRST_HALF,334277,10758,210334.0,0.0147045,0.629717,41255282.0,210332.0,0.211287,0.416493,,,Antonin,Barak,334.277,5.571283333333333
18,Pass Received,,,,,,,,,41255285,FIRST_HALF,339933,10758,210334.0,0.0733039,0.452115,,,,,,,Antonin,Barak,339.933,5.66555
