,eventId,teamId_x,eventPeriod_x,startTime,endTime,eventType,outcome,cross,keyPass,assist,subEventType,bodyPart,xG,eventTypes,eventPeriod_y,eventTime,teamId_y,playerId,x,y,relativeEvent_eventId,relativeEvent_playerId,relativeEvent_x,relativeEvent_y,ballPosition_x,ballPosition_y,playerName,playerLastName,time_sec,time_min
0,41254878,10758,FIRST_HALF,996,6185,Pass,Successful,False,False,False,,,,,FIRST_HALF,996,10758,210334.0,0.49898,0.50017,41254879.0,210329.0,0.492469,0.403253,,,Antonin,Barak,0.996,0.0166
2,41254880,10758,FIRST_HALF,996,6185,Pass,Successful,False,False,False,,,,,FIRST_HALF,2716,10758,210329.0,0.522906,0.392473,41254881.0,210331.0,0.749408,0.300976,,,Vladimir,Darida,2.716,0.04526666666666667
4,41254883,10758,FIRST_HALF,996,6185,Pass,Successful,False,False,False,,,,,FIRST_HALF,4892,10758,210331.0,0.784955,0.296348,41254884.0,210330.0,0.942876,0.415118,,,Ondrej,Celustka,4.892,0.08153333333333333
5,41254884,10758,FIRST_HALF,996,6185,Pass,Unsuccessful,False,False,False,,,,,FIRST_HALF,6185,10758,210330.0,0.942876,0.415118,41254885.0,,0.637419,0.647984,,,Vladimir,Coufal,6.185,0.10308333333333333
7,41254911,10757,FIRST_HALF,8061,13394,Pass,Successful,False,False,False,,,,,FIRST_HALF,7959,10757,210309.0,0.356492,0.354542,41254912.0,210305.0,0.322532,0.516785,,,Leonardo,Bonucci,7.959,0.13265
8,41254911,10757,FIRST_HALF,8061,13394,Recovery,,,,,,,,,FIRST_HALF,7959,10757,210309.0,0.356492,0.354542,41254912.0,210305.0,0.322532,0.516785,,,Leonardo,Bonucci,7.959,0.13265
9,41254912,10757,FIRST_HALF,8061,13394,Pass,Successful,False,False,False,,,,,FIRST_HALF,9383,10757,210305.0,0.322532,0.516785,41254913.0,210302.0,0.121268,0.50475,,,Ciro,Immobile,9.383,0.15638333333333332
11,41254913,10757,FIRST_HALF,8061,13394,Pass,Successful,False,False,False,,,,,FIRST_HALF,11101,10757,210302.0,0.121268,0.50475,41254914.0,210304.0,0.104267,0.518917,,,Leonardo,Spinazzola,11.101,0.1850166666666667
13,41254914,10757,FIRST_HALF,8061,13394,Pass,Unsuccessful,False,False,False,,,,,FIRST_HALF,13023,10757,210304.0,0.104267,0.518917,41254915.0,,0.106785,0.505233,,,Lorenzo,Insigne,13.023,0.21705
16,41254889,10757,FIRST_HALF,8061,13394,Intervention,,,,,,,,,FIRST_HALF,13394,10758,210325.0,0.906134,0.495636,,,,,,,Lukas,Masopust,13.394,0.22323333333333334
17,41254891,10758,FIRST_HALF,14770,23031,Pass,Successful,False,False,False,,,,,FIRST_HALF,14770,10758,210330.0,0.967406,0.474481,41254892.0,210334.0,0.836761,0.540591,,,Vladimir,Coufal,14.77,0.24616666666666667
18,41254891,10758,FIRST_HALF,14770,23031,Recovery,,,,,,,,,FIRST_HALF,14770,10758,210330.0,0.967406,0.474481,41254892.0,210334.0,0.836761,0.540591,,,Vladimir,Coufal,14.77,0.24616666666666667
19,41254892,10758,FIRST_HALF,14770,23031,Pass,Successful,False,False,False,,,,,FIRST_HALF,15767,10758,210334.0,0.836761,0.540591,41254893.0,210327.0,0.852462,0.487489,,,Antonin,Barak,15.767,0.2627833333333333
22,41254894,10758,FIRST_HALF,14770,23031,Pass,Successful,False,False,False,,,,,FIRST_HALF,17339,10758,210327.0,0.854197,0.495631,41254895.0,210325.0,0.914582,0.603346,,,Alex,Kral,17.339,0.2889833333333333
24,41254896,10758,FIRST_HALF,14770,23031,Pass,Successful,False,False,False,,,,,FIRST_HALF,19292,10758,210325.0,0.914424,0.637082,41254897.0,210334.0,0.806378,0.708887,,,Lukas,Masopust,19.292,0.32153333333333334
26,41254900,10758,FIRST_HALF,14770,23031,Pass,Successful,False,False,False,,,,,FIRST_HALF,20904,10758,210334.0,0.839958,0.731851,41254901.0,210326.0,0.91417,0.918279,,,Antonin,Barak,20.904,0.3484
27,41254901,10758,FIRST_HALF,14770,23031,Pass,Unsuccessful,True,False,False,,,,,FIRST_HALF,23031,10758,210326.0,0.91417,0.918279,41254902.0,,0.490468,0.973448,,,Michael,Krmencik,23.031,0.38384999999999997
29,41254923,10757,FIRST_HALF,24445,32967,Recovery,,,,,,,,,FIRST_HALF,24445,10757,210307.0,0.502092,0.0346473,,,,,,,Gianluigi,Donnarumma,24.445,0.40741666666666665
30,41254936,10757,FIRST_HALF,24445,32967,Pass,Successful,False,False,False,,,,,FIRST_HALF,26186,10757,210307.0,0.547683,0.0520566,41254937.0,210311.0,0.606558,0.193181,,,Gianluigi,Donnarumma,26.186,0.43643333333333334
32,41254943,10757,FIRST_HALF,24445,32967,Duel,Successful,,,,Ground,,,,FIRST_HALF,29021,10757,210311.0,0.633388,0.24577,,,,,,,Nicolo,Barella,29.021,0.48368333333333335
33,41254948,10757,FIRST_HALF,24445,32967,Pass,Successful,False,False,False,,,,,FIRST_HALF,30729,10757,210311.0,0.61913,0.255711,41254949.0,210303.0,0.586977,0.214582,,,Nicolo,Barella,30.729,0.51215
34,41254949,10757,FIRST_HALF,24445,32967,Pass,Successful,False,False,False,,,,,FIRST_HALF,31237,10757,210303.0,0.586977,0.214582,41254950.0,210301.0,0.495375,0.341633,,,Jorginho,,31.237,0.5206166666666666
36,41254950,10757,FIRST_HALF,24445,32967,Pass,Unsuccessful,False,False,False,,,,,FIRST_HALF,32967,10757,210301.0,0.495375,0.341633,41254951.0,,0.452196,0.518713,,,Manuel,Locatelli,32.967,0.54945
38,41254916,10758,FIRST_HALF,35638,43500,Recovery,,,,,,,,,FIRST_HALF,35638,10758,210332.0,0.564263,0.480136,,,,,,,Jakub,Brabec,35.638,0.5939666666666666
39,41254920,10758,FIRST_HALF,35638,43500,Pass,Successful,False,False,False,,,,,FIRST_HALF,37947,10758,210332.0,0.723944,0.469108,41254921.0,210330.0,0.869656,0.3341,,,Jakub,Brabec,37.947,0.6324500000000001
40,41254921,10758,FIRST_HALF,35638,43500,Pass,Successful,False,False,False,,,,,FIRST_HALF,39960,10758,210330.0,0.869656,0.3341,41254922.0,210324.0,0.657333,0.0808477,,,Vladimir,Coufal,39.96,0.666
43,41254932,10758,FIRST_HALF,35638,43500,Pass,Unsuccessful,False,False,False,,,,,FIRST_HALF,43072,10758,210324.0,0.671495,0.0880582,41254933.0,,0.718,0.120179,,,Jiri,Pavlenka,43.072,0.7178666666666668
45,41263608,10758,FIRST_HALF,35638,43500,Intervention,,,,,,,,,FIRST_HALF,43387,10757,210305.0,0.286948,0.876377,,,,,,,Ciro,Immobile,43.387,0.7231166666666666
46,41254935,10758,FIRST_HALF,44837,48722,Recovery,,,,,,,,,FIRST_HALF,44837,10758,210330.0,0.93021,0.19281,,,,,,,Vladimir,Coufal,44.837,0.7472833333333334
47,41254941,10758,FIRST_HALF,44837,48722,Pass,Successful,False,False,False,,,,,FIRST_HALF,46286,10758,210330.0,0.932616,0.206411,41254942.0,210327.0,0.803927,0.254696,,,Vladimir,Coufal,46.286,0.7714333333333333
49,41254958,10758,FIRST_HALF,44837,48722,Pass,Unsuccessful,False,False,False,,,,,FIRST_HALF,48722,10758,210327.0,0.859432,0.2102,41254959.0,,1.0,0.598277,,,Alex,Kral,48.722,0.8120333333333334
50,41254982,10757,FIRST_HALF,72166,77101,Pass,Successful,False,False,False,,,,,FIRST_HALF,72166,10757,210302.0,0.0,0.379587,41254983.0,210301.0,0.02285,0.443459,,,Leonardo,Spinazzola,72.166,1.2027666666666665
51,41254982,10757,FIRST_HALF,72166,77101,Set Piece,,,,,Throw-In,,,,FIRST_HALF,72166,10757,210302.0,0.0,0.379587,41254983.0,210301.0,0.02285,0.443459,,,Leonardo,Spinazzola,72.166,1.2027666666666665
52,41254983,10757,FIRST_HALF,72166,77101,Pass,Successful,False,False,False,,,,,FIRST_HALF,72836,10757,210301.0,0.02285,0.443459,41254984.0,210302.0,0.0193773,0.377371,,,Manuel,Locatelli,72.836,1.2139333333333333
55,41254992,10757,FIRST_HALF,72166,77101,Pass,Successful,False,False,False,,,,,FIRST_HALF,75548,10757,210302.0,0.062567,0.327398,41254993.0,210309.0,0.32408,0.227399,,,Leonardo,Spinazzola,75.548,1.2591333333333334
56,41254993,10757,FIRST_HALF,72166,77101,Pass,Unsuccessful,False,False,False,,,,,FIRST_HALF,77101,10757,210309.0,0.32408,0.227399,41254994.0,,0.212592,0.408044,,,Leonardo,Bonucci,77.101,1.2850166666666667
58,41255009,10758,FIRST_HALF,78139,83490,Pass,Successful,False,False,False,,,,,FIRST_HALF,78024,10758,210327.0,0.789502,0.593525,41255010.0,210334.0,0.719833,0.670807,,,Alex,Kral,78.024,1.3004
59,41255009,10758,FIRST_HALF,78139,83490,Recovery,,,,,,,,,FIRST_HALF,78024,10758,210327.0,0.789502,0.593525,41255010.0,210334.0,0.719833,0.670807,,,Alex,Kral,78.024,1.3004
60,41255010,10758,FIRST_HALF,78139,83490,Pass,Successful,False,False,False,,,,,FIRST_HALF,79051,10758,210334.0,0.719833,0.670807,41255011.0,210329.0,0.59336,0.590763,,,Antonin,Barak,79.051,1.3175166666666667
63,41254967,10758,FIRST_HALF,78139,83490,Pass,Successful,False,False,False,,,,,FIRST_HALF,81594,10758,210329.0,0.529694,0.608765,41254968.0,210333.0,0.247029,0.702897,,,Vladimir,Darida,81.594,1.3598999999999999
65,41254971,10758,FIRST_HALF,78139,83490,Pass,Unsuccessful,False,False,False,,,,,FIRST_HALF,83490,10758,210333.0,0.277594,0.7132,41254972.0,,0.215599,0.923152,,,Jan,Boril,83.49,1.3915
66,41255003,10757,FIRST_HALF,86030,87461,Recovery,,,,,,,,,FIRST_HALF,85937,10757,210309.0,0.786564,0.0764828,,,,,,,Leonardo,Bonucci,85.937,1.4322833333333334
67,41255014,10757,FIRST_HALF,86030,87461,Pass,Unsuccessful,False,False,False,,,,,FIRST_HALF,87461,10757,210309.0,0.935404,0.0551782,41255015.0,,0.959243,0.242412,,,Leonardo,Bonucci,87.461,1.4576833333333332
68,41254976,10758,FIRST_HALF,89052,95382,Recovery,,,,,,,,,FIRST_HALF,88958,10758,210333.0,0.042446,0.75184,,,,,,,Jan,Boril,88.958,1.4826333333333332
