,Unnamed: 0,eventType,outcome,cross,keyPass,assist,subEventType,bodyPart,xG,eventTypes,eventId,eventPeriod,eventTime,teamId,playerId,x,y,relativeEvent_eventId,relativeEvent_playerId,relativeEvent_x,relativeEvent_y,ballPosition_x,ballPosition_y,playerName,playerLastName,time_sec,time_min,relative_real_x,relative_real_y,real_x,real_y
995,995,Pass,Unsuccessful,True,False,False,,,,,41254901,FIRST_HALF,23031,10758,210326.0,0.91417,0.918279,41254902.0,,0.490468,0.973448,,,Michael,Krmencik,23.031,0.3838499999999999,33.351824,102.21204,62.163560000000004,96.41929499999999
1739,1739,Pass,Unsuccessful,False,False,False,,,,,41254971,FIRST_HALF,83490,10758,210333.0,0.277594,0.7132,41254972.0,,0.215599,0.923152,,,Jan,Boril,83.49,1.3915,14.660732000000001,96.93096,18.876392,74.886
1832,1832,Pass,Successful,True,True,False,,,,,41254999,FIRST_HALF,92990,10758,210328.0,0.0243606,0.873717,41255000.0,210325.0,0.644917,0.94608,,,Jakub,Jankto,92.99,1.5498333333333332,43.854355999999996,99.33840000000001,1.6565208,91.740285
850,850,Pass,Unsuccessful,True,False,False,,,,,41255112,FIRST_HALF,168227,10758,210325.0,0.97579,0.882535,41255114.0,,0.27224,0.922747,,,Lukas,Masopust,168.227,2.803783333333333,18.51232,96.888435,66.35372000000001,92.666175
1839,1839,Pass,Successful,True,False,False,,,,,41255120,FIRST_HALF,172529,10758,210328.0,0.11879,0.920735,41255121.0,210334.0,0.378257,0.981604,,,Jakub,Jankto,172.529,2.8754833333333334,25.721476,103.06842,8.077720000000001,96.67717499999999
8,8,Pass,Successful,False,False,False,,,,,41255124,FIRST_HALF,176242,10758,210334.0,0.297963,0.994125,41255125.0,210328.0,0.223296,0.960923,,,Antonin,Barak,176.242,2.9373666666666667,15.184128,100.89691499999999,20.261484,104.383125
1840,1840,Pass,Unsuccessful,True,False,False,,,,,41255125,FIRST_HALF,176932,10758,210328.0,0.223296,0.960923,41255126.0,,0.595015,0.948034,,,Jakub,Jankto,176.932,2.9488666666666665,40.46102,99.54357,15.184128,100.89691499999999
204,204,Pass,Successful,True,True,False,,,,,41255335,FIRST_HALF,377342,10758,210330.0,0.875734,0.826261,41255336.0,210326.0,0.581313,0.906291,,,Vladimir,Coufal,377.342,6.289033333333333,39.529284,95.160555,59.549912,86.757405
1846,1846,Pass,Successful,True,False,False,,,,,41255377,FIRST_HALF,416208,10758,210328.0,1.0,1.0,41255378.0,210332.0,0.319614,0.956819,,,Jakub,Jankto,416.208,6.936800000000001,21.733752,100.46599499999999,68.0,105.0
1530,1530,Pass,Successful,False,True,False,,,,,41255378,FIRST_HALF,418461,10758,210332.0,0.319614,0.956819,41255379.0,210333.0,0.347897,0.855939,,,Jakub,Brabec,418.461,6.97435,23.656996,89.873595,21.733752,100.46599499999999
1115,1115,Pass,Successful,False,False,False,,,,,41255456,FIRST_HALF,441756,10757,210311.0,0.602162,0.637371,41255457.0,210304.0,0.593257,0.853223,,,Nicolo,Barella,441.756,7.3626,40.341476,89.588415,40.947016,66.923955
2156,2156,Pass,Successful,False,False,False,,,,,41255518,FIRST_HALF,466295,10757,210310.0,0.62972,0.793936,41255519.0,210304.0,0.535281,0.874516,,,Domenico,Berardi,466.295,7.771583333333334,36.399108,91.82418,42.82096,83.36328
688,688,Pass,Unsuccessful,False,False,False,,,,,41255534,FIRST_HALF,469519,10757,210304.0,0.485419,0.86441,41255535.0,,0.430334,0.882992,,,Lorenzo,Insigne,469.519,7.825316666666667,29.262712,92.71416,33.008492,90.76305
694,694,Pass,Successful,False,True,False,,,,,41255651,FIRST_HALF,530921,10757,210304.0,0.46655,0.710112,41255652.0,210305.0,0.325072,0.922854,,,Lorenzo,Insigne,530.921,8.848683333333334,22.104896000000004,96.89967,31.7254,74.56175999999999
1850,1850,Pass,Unsuccessful,False,False,False,,,,,41255671,FIRST_HALF,723661,10758,210328.0,0.742392,0.691807,41255672.0,,0.43409,0.927594,,,Jakub,Jankto,723.661,12.061016666666664,29.51812,97.39737000000001,50.482656000000006,72.639735
1763,1763,Pass,Unsuccessful,False,False,False,,,,,41255684,FIRST_HALF,758493,10758,210333.0,0.0,0.943062,41255685.0,,0.428291,0.936746,,,Jan,Boril,758.493,12.64155,29.123787999999998,98.35833,0.0,99.02150999999999
22,22,Pass,Unsuccessful,True,False,False,,,,,41255776,FIRST_HALF,868625,10758,210334.0,0.0900147,0.955733,41255777.0,,0.470119,0.941257,,,Antonin,Barak,868.625,14.477083333333333,31.968092000000002,98.831985,6.1209996,100.351965
606,606,Pass,Unsuccessful,True,False,False,,,,,41256076,FIRST_HALF,899453,10757,210302.0,0.174351,0.948379,41256077.0,,0.525393,0.911698,,,Leonardo,Spinazzola,899.453,14.990883333333333,35.726724,95.72829,11.855868000000001,99.57979499999999
2169,2169,Pass,Successful,False,False,False,,,,,41256248,FIRST_HALF,1010926,10757,210310.0,0.854338,0.89854,41256249.0,210311.0,0.71589,0.978668,,,Domenico,Berardi,1010.926,16.848766666666666,48.68052,102.76013999999999,58.094984000000004,94.3467
1130,1130,Pass,Unsuccessful,True,False,False,,,,,41256249,FIRST_HALF,1012768,10757,210311.0,0.71589,0.978668,41256250.0,,0.654259,0.978975,,,Nicolo,Barella,1012.768,16.879466666666666,44.489612,102.792375,48.68052,102.76013999999999
706,706,Pass,Unsuccessful,True,False,False,,,,,41256616,FIRST_HALF,1334209,10757,210304.0,0.306268,0.7185,41256617.0,210311.0,0.472745,0.913158,,,Lorenzo,Insigne,1334.209,22.236816666666662,32.146660000000004,95.88159,20.826224,75.44250000000001
1864,1864,Pass,Unsuccessful,True,False,False,,,,,41256629,FIRST_HALF,1513569,10758,210328.0,0.0369605,0.912257,41256630.0,,0.335396,0.906779,,,Jakub,Jankto,1513.569,25.22615,22.806928000000003,95.211795,2.513314,95.786985
1138,1138,Pass,Successful,True,True,False,,,,,41257819,FIRST_HALF,1636521,10757,210311.0,0.778428,0.799713,41257820.0,210305.0,0.396579,0.94472,,,Nicolo,Barella,1636.521,27.27535,26.967372,99.1956,52.933104,83.969865
2050,2050,Pass,Successful,False,False,False,,,,,41257911,FIRST_HALF,1699651,10757,210306.0,0.671982,0.814678,41257912.0,210311.0,0.793503,0.912375,,,Alessandro,Florenzi,1699.651,28.327516666666668,53.958203999999995,95.79937500000001,45.694776,85.54119
1141,1141,Pass,Unsuccessful,True,False,False,,,,,41257912,FIRST_HALF,1701379,10757,210311.0,0.793503,0.912375,41257913.0,,0.499726,0.94326,,,Nicolo,Barella,1701.379,28.356316666666665,33.981368,99.0423,53.958203999999995,95.79937500000001
1377,1377,Pass,Successful,False,False,False,,,,,41257978,FIRST_HALF,1739980,10757,210301.0,0.0520061,0.869989,41257979.0,210311.0,0.207715,0.902924,,,Manuel,Locatelli,1739.98,28.999666666666663,14.12462,94.80702,3.5364148,91.348845
1143,1143,Pass,Successful,False,False,False,,,,,41257979,FIRST_HALF,1741713,10757,210311.0,0.207715,0.902924,41257980.0,210304.0,0.227881,0.861156,,,Nicolo,Barella,1741.713,29.02855,15.495908,90.42138,14.12462,94.80702
1270,1270,Pass,Unsuccessful,False,False,False,,,,,41258279,FIRST_HALF,1898404,10757,210303.0,0.697997,0.613856,41258280.0,210305.0,0.657566,0.857163,,,Jorginho,,1898.404,31.640066666666662,44.714487999999996,90.002115,47.463796,64.45487999999999
736,736,Pass,Successful,False,False,False,,,,,41258408,FIRST_HALF,2049324,10757,210304.0,0.196952,0.864824,41258409.0,210310.0,0.337323,0.9804,,,Lorenzo,Insigne,2049.324,34.1554,22.937963999999997,102.94200000000001,13.392736,90.80652
2178,2178,Pass,Unsuccessful,True,False,False,,,,,41258409,FIRST_HALF,2051332,10757,210310.0,0.337323,0.9804,41258410.0,,0.379549,0.969324,,,Domenico,Berardi,2051.332,34.18886666666666,25.809332,101.77902,22.937963999999997,102.94200000000001
2180,2180,Pass,Successful,True,False,False,,,,,41258465,FIRST_HALF,2087162,10757,210310.0,0.0,1.0,41258466.0,210308.0,0.485706,0.872638,,,Domenico,Berardi,2087.162,34.78603333333333,33.028008,91.62699,0.0,105.0
1926,1926,Pass,Unsuccessful,False,False,False,,,,,41258466,FIRST_HALF,2088974,10757,210308.0,0.485706,0.872638,41258467.0,,0.585111,0.975772,,,Giorgio,Chiellini,2088.974,34.81623333333334,39.787548,102.45606,33.028008,91.62699
2183,2183,Pass,Unsuccessful,True,False,False,,,,,41258695,FIRST_HALF,2235053,10757,210310.0,0.748272,0.884444,41258696.0,,0.509493,0.956279,,,Domenico,Berardi,2235.053,37.25088333333333,34.645523999999995,100.409295,50.882496,92.86662
1396,1396,Pass,Unsuccessful,True,False,False,,,,,41258749,FIRST_HALF,2268134,10757,210301.0,0.140189,0.699578,41258750.0,,0.500711,0.884208,,,Manuel,Locatelli,2268.134,37.80223333333333,34.048348000000004,92.84184,9.532852,73.45569
549,549,Pass,Successful,False,True,False,,,,,41258861,FIRST_HALF,2323507,10757,210305.0,0.34523,0.835371,41258862.0,210304.0,0.330533,0.924607,,,Ciro,Immobile,2323.507,38.725116666666665,22.476244,97.08373499999999,23.47564,87.713955
