,Unnamed: 0,eventType,outcome,cross,keyPass,assist,subEventType,bodyPart,xG,eventTypes,eventId,eventPeriod,eventTime,teamId,playerId,x,y,relativeEvent_eventId,relativeEvent_playerId,relativeEvent_x,relativeEvent_y,ballPosition_x,ballPosition_y,playerName,playerLastName,time_sec,time_min,relative_real_x,relative_real_y,real_x,real_y,passDistance,passAngle,Angle,Distance,teamName
0,0,Pass,Successful,False,False,False,,,,,41254878,FIRST_HALF,996,10758,210334.0,0.49898,0.50017,41254879.0,210329.0,0.492469,0.403253,,,Antonin,Barak,0.996,0.0166,33.487892,42.341564999999996,33.93064,52.51785,10.18591194703396,267.508756527648,Side,short,Czech
53,53,Pass,Successful,False,False,False,,,,,41254880,FIRST_HALF,2716,10758,210329.0,0.522906,0.392473,41254881.0,210331.0,0.749408,0.300976,,,Vladimir,Darida,2.716,0.0452666666666666,50.959744,31.602480000000003,35.557608,41.209665,18.152790336108687,328.04587259714935,Forward,middle,Czech
147,147,Pass,Successful,False,False,False,,,,,41254883,FIRST_HALF,4892,10758,210331.0,0.784955,0.296348,41254884.0,210330.0,0.942876,0.415118,,,Ondrej,Celustka,4.892,0.0815333333333333,64.115568,43.58739,53.37694,31.11654,16.45722428129616,49.26831408839456,Forward,middle,Czech
188,188,Pass,Unsuccessful,False,False,False,,,,,41254884,FIRST_HALF,6185,10758,210330.0,0.942876,0.415118,41254885.0,,0.637419,0.647984,,,Vladimir,Coufal,6.185,0.1030833333333333,43.344491999999995,68.03832,64.115568,43.58739,32.08248082774579,130.34791581710726,Backward,long,Czech
306,306,Pass,Successful,False,False,False,,,,,41254911,FIRST_HALF,7959,10757,210309.0,0.356492,0.354542,41254912.0,210305.0,0.322532,0.516785,,,Leonardo,Bonucci,7.959,0.13265,21.932176,54.26242500000001,24.241456,37.226910000000004,17.191321805888723,97.71977706257758,Side,middle,Italy
504,504,Pass,Successful,False,False,False,,,,,41254912,FIRST_HALF,9383,10757,210305.0,0.322532,0.516785,41254913.0,210302.0,0.121268,0.50475,,,Ciro,Immobile,9.383,0.1563833333333333,8.246224,52.99875,21.932176,54.26242500000001,13.744168096030002,185.27537521292584,Backward,short,Italy
584,584,Pass,Successful,False,False,False,,,,,41254913,FIRST_HALF,11101,10757,210302.0,0.121268,0.50475,41254914.0,210304.0,0.104267,0.518917,,,Leonardo,Spinazzola,11.101,0.1850166666666667,7.090156,54.486284999999995,8.246224,52.99875,1.883946282899006,127.8532899714125,Backward,short,Italy
677,677,Pass,Unsuccessful,False,False,False,,,,,41254914,FIRST_HALF,13023,10757,210304.0,0.104267,0.518917,41254915.0,,0.106785,0.505233,,,Lorenzo,Insigne,13.023,0.21705,7.26138,53.049465000000005,7.090156,54.486284999999995,1.4469863062848838,276.7958160783676,Side,short,Italy
190,190,Pass,Successful,False,False,False,,,,,41254891,FIRST_HALF,14770,10758,210330.0,0.967406,0.474481,41254892.0,210334.0,0.836761,0.540591,,,Vladimir,Coufal,14.77,0.2461666666666666,56.899747999999995,56.762055000000004,65.783608,49.820505,11.274222141775466,141.99712514149059,Backward,short,Czech
1,1,Pass,Successful,False,False,False,,,,,41254892,FIRST_HALF,15767,10758,210334.0,0.836761,0.540591,41254893.0,210327.0,0.852462,0.487489,,,Antonin,Barak,15.767,0.2627833333333333,57.967416,51.186345,56.899747999999995,56.762055000000004,5.677011270230492,280.840095815601,Side,short,Czech
903,903,Pass,Successful,False,False,False,,,,,41254894,FIRST_HALF,17339,10758,210327.0,0.854197,0.495631,41254895.0,210325.0,0.914582,0.603346,,,Alex,Kral,17.339,0.2889833333333333,62.191576,63.351330000000004,58.085395999999996,52.041255,12.032394221352005,70.04631524382103,Side,short,Czech
846,846,Pass,Successful,False,False,False,,,,,41254896,FIRST_HALF,19292,10758,210325.0,0.914424,0.637082,41254897.0,210334.0,0.806378,0.708887,,,Lukas,Masopust,19.292,0.3215333333333333,54.833704000000004,74.43313500000001,62.180832,66.89361000000001,10.527332381662932,134.2595432709112,Backward,short,Czech
4,4,Pass,Successful,False,False,False,,,,,41254900,FIRST_HALF,20904,10758,210334.0,0.839958,0.731851,41254901.0,210326.0,0.91417,0.918279,,,Antonin,Barak,20.904,0.3484,62.163560000000004,96.41929499999999,57.117143999999996,76.84435500000001,20.214959570789535,75.54392585630671,Side,middle,Czech
995,995,Pass,Unsuccessful,True,False,False,,,,,41254901,FIRST_HALF,23031,10758,210326.0,0.91417,0.918279,41254902.0,,0.490468,0.973448,,,Michael,Krmencik,23.031,0.3838499999999999,33.351824,102.21204,62.163560000000004,96.41929499999999,29.38829743228963,168.63195446334964,Backward,middle,Czech
1020,1020,Pass,Successful,False,False,False,,,,,41254936,FIRST_HALF,26186,10757,210307.0,0.547683,0.0520566,41254937.0,210311.0,0.606558,0.193181,,,Gianluigi,Donnarumma,26.186,0.4364333333333333,41.245944,20.284005,37.242444,5.465943,15.34936395053046,74.88097134856798,Side,middle,Italy
1110,1110,Pass,Successful,False,False,False,,,,,41254948,FIRST_HALF,30729,10757,210311.0,0.61913,0.255711,41254949.0,210303.0,0.586977,0.214582,,,Nicolo,Barella,30.729,0.51215,39.914435999999995,22.531109999999998,42.10084,26.849655000000002,4.840474498253353,243.1477019471991,Side,short,Italy
1231,1231,Pass,Successful,False,False,False,,,,,41254949,FIRST_HALF,31237,10757,210303.0,0.586977,0.214582,41254950.0,210301.0,0.495375,0.341633,,,Jorginho,,31.237,0.5206166666666666,33.6855,35.871465,39.914435999999995,22.531109999999998,14.722931610862052,115.02901407061063,Side,short,Italy
1333,1333,Pass,Unsuccessful,False,False,False,,,,,41254950,FIRST_HALF,32967,10757,210301.0,0.495375,0.341633,41254951.0,,0.452196,0.518713,,,Manuel,Locatelli,32.967,0.54945,30.749328,54.464864999999996,33.6855,35.871465,18.823804864415266,98.97374505028222,Side,middle,Italy
1515,1515,Pass,Successful,False,False,False,,,,,41254920,FIRST_HALF,37947,10758,210332.0,0.723944,0.469108,41254921.0,210330.0,0.869656,0.3341,,,Jakub,Brabec,37.947,0.6324500000000001,59.136607999999995,35.0805,49.228192,49.25634,17.295408273141632,304.95220141090385,Forward,middle,Czech
192,192,Pass,Successful,False,False,False,,,,,41254921,FIRST_HALF,39960,10758,210330.0,0.869656,0.3341,41254922.0,210324.0,0.657333,0.0808477,,,Vladimir,Coufal,39.96,0.666,44.698643999999994,8.489008499999999,59.136607999999995,35.0805,30.25825878433636,241.50006302216084,Side,long,Czech
1660,1660,Pass,Unsuccessful,False,False,False,,,,,41254932,FIRST_HALF,43072,10758,210324.0,0.671495,0.0880582,41254933.0,,0.718,0.120179,,,Jiri,Pavlenka,43.072,0.7178666666666668,48.824,12.618794999999999,45.66166,9.246111,4.623352856905472,46.84355314930883,Forward,short,Czech
195,195,Pass,Successful,False,False,False,,,,,41254941,FIRST_HALF,46286,10758,210330.0,0.932616,0.206411,41254942.0,210327.0,0.803927,0.254696,,,Vladimir,Coufal,46.286,0.7714333333333333,54.667035999999996,26.74308,63.417888,21.673155,10.11343414629912,149.91355948354476,Backward,short,Czech
906,906,Pass,Unsuccessful,False,False,False,,,,,41254958,FIRST_HALF,48722,10758,210327.0,0.859432,0.2102,41254959.0,,1.0,0.598277,,,Alex,Kral,48.722,0.8120333333333334,68.0,62.819084999999994,58.441376,22.071,41.85419601354923,76.79833810737438,Side,long,Czech
586,586,Pass,Successful,False,False,False,,,,,41254982,FIRST_HALF,72166,10757,210302.0,0.0,0.379587,41254983.0,210301.0,0.02285,0.443459,,,Leonardo,Spinazzola,72.166,1.2027666666666663,1.5537999999999998,46.563195,0.0,39.856635000000004,6.884202312076537,76.95565230441065,Side,short,Italy
