,id,players,ball,ball_x,ball_y
0,251,"4419,2283;3684,828;4274,3249;5220,2336;5206,4382;3358,4412;1068,3414;3626,1920;3484,3064;4531,5514;4434,4074;9328,3418;5318,961;5255,1851;6058,2905;5528,4235;6211,3581;5561,575;7086,2283;7078,3932;5284,6385;5204,3443","5250,3400",5250,3400
1,252,"4419,2283;3684,827;4274,3249;5221,2336;5207,4383;3358,4412;1068,3414;3626,1920;3485,3064;4531,5514;4435,4074;9329,3417;5317,962;5255,1852;6058,2905;5527,4235;6211,3581;5561,578;7087,2284;7078,3932;5283,6385;5204,3443","5250,3400",5250,3400
2,253,"4419,2283;3684,827;4274,3249;5221,2336;5208,4384;3358,4412;1069,3414;3627,1920;3485,3064;4531,5514;4437,4074;9330,3416;5317,962;5255,1852;6058,2905;5526,4235;6211,3581;5560,582;7087,2285;7078,3932;5283,6384;5204,3443","5250,3401",5250,3401
3,254,"4419,2282;3683,825;4274,3249;5221,2336;5208,4384;3358,4412;1069,3414;3627,1919;3485,3064;4532,5514;4438,4074;9330,3415;5316,963;5255,1852;6058,2905;5525,4235;6211,3581;5559,585;7088,2285;7078,3932;5283,6383;5204,3443","5250,3401",5250,3401
4,255,"4418,2282;3683,824;4274,3249;5221,2336;5209,4385;3358,4412;1070,3414;3627,1919;3485,3064;4532,5514;4439,4074;9330,3415;5315,964;5255,1851;6058,2905;5524,4235;6211,3581;5559,588;7088,2286;7078,3932;5282,6382;5204,3443","5250,3401",5250,3401
5,256,"4418,2282;3683,823;4273,3249;5221,2336;5209,4386;3358,4412;1070,3414;3627,1918;3486,3064;4532,5514;4440,4074;9331,3415;5315,964;5254,1850;6058,2905;5523,4235;6211,3581;5558,590;7088,2286;7077,3932;5282,6381;5204,3443","5250,3402",5250,3402
6,257,"4418,2281;3683,822;4273,3248;5221,2336;5210,4386;3358,4412;1071,3413;3627,1917;3486,3064;4532,5514;4441,4074;9331,3414;5314,965;5254,1849;6058,2905;5523,4234;6211,3581;5558,592;7089,2286;7077,3932;5283,6381;5204,3442","5249,3402",5249,3402
7,258,"4418,2281;3683,822;4273,3248;5221,2336;5210,4387;3358,4412;1071,3412;3627,1917;3486,3064;4532,5514;4442,4074;9331,3414;5313,966;5254,1849;6058,2905;5522,4234;6211,3581;5558,594;7089,2287;7077,3932;5283,6380;5205,3442","5249,3402",5249,3402
8,259,"4417,2280;3683,821;4273,3248;5222,2336;5212,4388;3358,4412;1072,3411;3628,1915;3486,3064;4532,5514;4443,4074;9332,3413;5312,968;5253,1849;6058,2905;5520,4234;6211,3581;5558,597;7090,2287;7077,3932;5282,6379;5205,3441","5249,3403",5249,3403
9,260,"4416,2279;3682,820;4272,3247;5222,2336;5214,4388;3358,4412;1072,3410;3628,1914;3486,3064;4532,5514;4444,4074;9332,3412;5311,970;5252,1848;6058,2905;5518,4233;6211,3581;5557,601;7090,2288;7076,3932;5282,6379;5205,3440","5249,3403",5249,3403
